,Order,Mesh Size,Error,Alpha,Bonus Int
0,1.0,1.0,0.005961752001862723,0.0,0.0
1,1.0,1.0,0.006485285571248191,0.0,1.0
2,1.0,1.0,0.0017001377250296576,0.0,2.0
3,1.0,1.0,0.0017038549071773628,0.0,3.0
4,1.0,1.0,0.002210504070078571,0.0,4.0
5,1.0,1.0,0.0023083628325888355,0.0,5.0
6,1.0,1.0,0.0020652179471318073,0.0,6.0
7,1.0,1.0,0.0020642023654350522,0.0,7.0
8,1.0,1.0,0.001955843686125416,0.0,8.0
9,1.0,1.0,0.0019556729336067395,0.0,9.0
10,1.0,1.0,0.0018738012282466282,0.0,10.0
11,1.0,1.0,0.0018750355619762567,0.0,11.0
12,1.0,1.0,0.001813062935937362,0.0,12.0
13,1.0,1.0,0.0018153127460952983,0.0,13.0
14,1.0,1.0,0.0017700310363420926,0.0,14.0
15,1.0,1.0,0.001772577056796318,0.0,15.0
16,1.0,1.0,0.0017409944645227066,0.0,16.0
17,1.0,1.0,0.0017432976182993434,0.0,17.0
18,1.0,1.0,0.0017223814901709844,0.0,18.0
19,1.0,1.0,0.0017242722073091393,0.0,19.0
20,1.0,1.0,0.005979158661490763,1.0,0.0
21,1.0,1.0,0.01476554921998342,1.0,1.0
22,1.0,1.0,0.0015820232246186272,1.0,2.0
23,1.0,1.0,0.0015849170973144186,1.0,3.0
24,1.0,1.0,0.0020900889549481327,1.0,4.0
25,1.0,1.0,0.0021971116189089296,1.0,5.0
26,1.0,1.0,0.0019436400548590743,1.0,6.0
27,1.0,1.0,0.0019421486103393868,1.0,7.0
28,1.0,1.0,0.0018348034389734547,1.0,8.0
29,1.0,1.0,0.0018342439961065912,1.0,9.0
30,1.0,1.0,0.0017540751520504561,1.0,10.0
31,1.0,1.0,0.0017550378719980292,1.0,11.0
32,1.0,1.0,0.0016951765457969262,1.0,12.0
33,1.0,1.0,0.0016972773550157454,1.0,13.0
34,1.0,1.0,0.0016540848448702368,1.0,14.0
35,1.0,1.0,0.0016565651097636698,1.0,15.0
36,1.0,1.0,0.0016266933653506426,1.0,16.0
37,1.0,1.0,0.0016289691772583183,1.0,17.0
38,1.0,1.0,0.001609266506306663,1.0,18.0
39,1.0,1.0,0.001611147409377653,1.0,19.0
40,1.0,1.0,0.053245709430900484,2.0,0.0
41,1.0,1.0,0.005563852893522641,2.0,1.0
42,1.0,1.0,0.0014823947651164625,2.0,2.0
43,1.0,1.0,0.0014852863619648703,2.0,3.0
44,1.0,1.0,0.0019890775037563107,2.0,4.0
45,1.0,1.0,0.0021021013605793852,2.0,5.0
46,1.0,1.0,0.001840267315616799,2.0,6.0
47,1.0,1.0,0.0018382772439956745,2.0,7.0
48,1.0,1.0,0.0017315564859305545,2.0,8.0
49,1.0,1.0,0.0017305822395205326,2.0,9.0
50,1.0,1.0,0.0016518971293229415,2.0,10.0
51,1.0,1.0,0.0016525585151194737,2.0,11.0
52,1.0,1.0,0.0015946405723559242,2.0,12.0
53,1.0,1.0,0.0015965672889443187,2.0,13.0
54,1.0,1.0,0.0015553268406711428,2.0,14.0
55,1.0,1.0,0.0015577243848283932,2.0,15.0
56,1.0,1.0,0.0015294633310656408,2.0,16.0
57,1.0,1.0,0.0015317016439603656,2.0,17.0
58,1.0,1.0,0.0015131496929381796,2.0,18.0
59,1.0,1.0,0.001515014681486418,2.0,19.0
60,1.0,1.0,0.006015423888005444,3.0,0.0
61,1.0,1.0,0.005190709372742249,3.0,1.0
62,1.0,1.0,0.0013983386078570863,3.0,2.0
63,1.0,1.0,0.0014006290275467015,3.0,3.0
64,1.0,1.0,0.0019034077823720118,3.0,4.0
