,Order,Mesh Size,Error,Alpha,Bonus Int
0,1.0,1.0,0.014765549219959286,1.0,1.0
1,1.0,1.0,0.0015849328869196489,1.0,3.0
2,1.0,1.0,0.002196129382407464,1.0,5.0
3,1.0,1.0,0.0019421486187896752,1.0,7.0
4,1.0,1.0,0.0018342439954969379,1.0,9.0
5,1.0,1.0,0.001755037871983684,1.0,11.0
6,1.0,1.0,0.0016972773550146892,1.0,13.0
7,1.0,1.0,0.0016565651097635986,1.0,15.0
8,1.0,1.0,0.001628969177258309,1.0,17.0
9,1.0,1.0,0.001611147409377639,1.0,19.0
10,1.0,1.0,2.847545778552511,6.0,1.0
11,1.0,1.0,0.0012186975937903857,6.0,3.0
12,1.0,1.0,0.00184929753518576,6.0,5.0
13,1.0,1.0,0.001551014943707957,6.0,7.0
14,1.0,1.0,0.0014415082226720544,6.0,9.0
15,1.0,1.0,0.0013663638621139052,6.0,11.0
16,1.0,1.0,0.0013158094463919419,6.0,13.0
17,1.0,1.0,0.0012830565920463866,6.0,15.0
18,1.0,1.0,0.0012623249754744068,6.0,17.0
19,1.0,1.0,0.0012495621858500147,6.0,19.0
20,1.0,1.0,0.01526812199464416,11.0,1.0
21,1.0,1.0,0.001062310613073981,11.0,3.0
22,1.0,1.0,0.0016892457088902445,11.0,5.0
23,1.0,1.0,0.0013630780710250257,11.0,7.0
24,1.0,1.0,0.0012492965489149476,11.0,9.0
25,1.0,1.0,0.001175788279558256,11.0,11.0
26,1.0,1.0,0.0011295635649600521,11.0,13.0
27,1.0,1.0,0.0011019487880464592,11.0,15.0
28,1.0,1.0,0.0010859111296977963,11.0,17.0
29,1.0,1.0,0.0010768447925404415,11.0,19.0
30,1.0,1.0,0.002988281718756693,16.0,1.0
31,1.0,1.0,0.0010208079135953288,16.0,3.0
32,1.0,1.0,0.0016115307389880148,16.0,5.0
33,1.0,1.0,0.001275937659930794,16.0,7.0
34,1.0,1.0,0.0011599331389183173,16.0,9.0
35,1.0,1.0,0.001088679681527409,16.0,11.0
36,1.0,1.0,0.0010454677177627182,16.0,13.0
37,1.0,1.0,0.0010206380970229911,16.0,15.0
38,1.0,1.0,0.001006996544648226,16.0,17.0
39,1.0,1.0,0.0009999212672542335,16.0,19.0
40,1.0,1.0,0.005379969946503197,21.0,1.0
41,1.0,1.0,0.0010650541416574693,21.0,3.0
42,1.0,1.0,0.001583745462850721,21.0,5.0
43,1.0,1.0,0.0012560097982156622,21.0,7.0
44,1.0,1.0,0.0011440968124566183,21.0,9.0
45,1.0,1.0,0.001078393772403438,21.0,11.0
46,1.0,1.0,0.0010378863883842152,21.0,13.0
47,1.0,1.0,0.0010133014773108986,21.0,15.0
48,1.0,1.0,0.000998958976348352,21.0,17.0
49,1.0,1.0,0.0009912222584971117,21.0,19.0
50,1.0,1.0,0.004116960015555168,26.0,1.0
51,1.0,1.0,0.0011948612660532953,26.0,3.0
52,1.0,1.0,0.0015961657806551574,26.0,5.0
53,1.0,1.0,0.0012993254320173696,26.0,7.0
54,1.0,1.0,0.0012038335291903832,26.0,9.0
55,1.0,1.0,0.0011498349629780389,26.0,11.0
56,1.0,1.0,0.0011128485488059174,26.0,13.0
57,1.0,1.0,0.001086322763269754,26.0,15.0
58,1.0,1.0,0.0010681415173728027,26.0,17.0
59,1.0,1.0,0.0010568602497581646,26.0,19.0
60,1.0,1.0,0.0033784964443361524,31.0,1.0
61,1.0,1.0,0.0014202723262360206,31.0,3.0
62,1.0,1.0,0.0016390947905145633,31.0,5.0
63,1.0,1.0,0.0014196725469390766,31.0,7.0
64,1.0,1.0,0.0013644840692491407,31.0,9.0
65,1.0,1.0,0.0013305778561245813,31.0,11.0
66,1.0,1.0,0.0012989930773900523,31.0,13.0
67,1.0,1.0,0.0012704982655251643,31.0,15.0
68,1.0,1.0,0.0012482735160605938,31.0,17.0
69,1.0,1.0,0.001233522443734242,31.0,19.0
70,1.0,1.0,0.002995352338029292,36.0,1.0
71,1.0,1.0,0.001772796233651785,36.0,3.0
72,1.0,1.0,0.0023296315892267438,36.0,5.0
73,1.0,1.0,0.0018240171417659339,36.0,7.0
74,1.0,1.0,0.0017721766069421273,36.0,9.0
75,1.0,1.0,0.0017307237701405904,36.0,11.0
76,1.0,1.0,0.0016921498310162781,36.0,13.0
77,1.0,1.0,0.0016616465593527873,36.0,15.0
78,1.0,1.0,0.0016427025679365819,36.0,17.0
79,1.0,1.0,0.001634617324121945,36.0,19.0
80,1.0,1.0,0.003169655180661049,41.0,1.0
81,1.0,1.0,0.0024608267465436695,41.0,3.0
82,1.0,1.0,0.002481928788675322,41.0,5.0
83,1.0,1.0,0.002912587917054139,41.0,7.0
84,1.0,1.0,1.7833827463394822,41.0,9.0
85,1.0,1.0,0.004585052190735105,41.0,11.0
86,1.0,1.0,0.0033741958538145633,41.0,13.0
87,1.0,1.0,0.003082516110640072,41.0,15.0
88,1.0,1.0,0.0030093831326075964,41.0,17.0
89,1.0,1.0,0.0030118207402852247,41.0,19.0
90,1.0,1.0,0.0037770502755193926,46.0,1.0
91,1.0,1.0,0.0021904121639210973,46.0,3.0
92,1.0,1.0,0.0029634058497480173,46.0,5.0
93,1.0,1.0,0.0034879176397101305,46.0,7.0
94,1.0,1.0,0.004719698960680967,46.0,9.0
95,1.0,1.0,0.012064533871227644,46.0,11.0
96,1.0,1.0,0.008833380330260281,46.0,13.0
97,1.0,1.0,0.003998614620627977,46.0,15.0
98,1.0,1.0,0.0037733004456087836,46.0,17.0
99,1.0,1.0,0.004436682400692237,46.0,19.0
100,1.0,1.0,0.00812536011054031,51.0,1.0
101,1.0,1.0,0.0031934741390501654,51.0,3.0
102,1.0,1.0,0.003493031593286017,51.0,5.0
103,1.0,1.0,0.0034916035313278604,51.0,7.0
104,1.0,1.0,0.0035048659223468285,51.0,9.0
105,1.0,1.0,0.0035114835450323722,51.0,11.0
106,1.0,1.0,0.0035515841724553174,51.0,13.0
107,1.0,1.0,0.0037965554293877637,51.0,15.0
108,1.0,1.0,0.005446346504019226,51.0,17.0
109,1.0,1.0,0.005556541514514214,51.0,19.0
110,1.0,1.0,0.0094285155692118,56.0,1.0
111,1.0,1.0,0.0469354167687404,56.0,3.0
112,1.0,1.0,0.004441809736566882,56.0,5.0
113,1.0,1.0,0.004409573370518793,56.0,7.0
114,1.0,1.0,0.00437559199121892,56.0,9.0
115,1.0,1.0,0.004313643491720208,56.0,11.0
116,1.0,1.0,0.0042145257316340765,56.0,13.0
117,1.0,1.0,0.004076859992671493,56.0,15.0
118,1.0,1.0,0.0038998336234855294,56.0,17.0
119,1.0,1.0,0.0036766585739901303,56.0,19.0
120,1.0,1.0,0.00666755181294425,61.0,1.0
121,1.0,1.0,0.00607254826837081,61.0,3.0
122,1.0,1.0,0.0059860471742035955,61.0,5.0
123,1.0,1.0,0.0059675667565236195,61.0,7.0
124,1.0,1.0,0.005950572936177895,61.0,9.0
125,1.0,1.0,0.005928445772835407,61.0,11.0
126,1.0,1.0,0.00589789402963501,61.0,13.0
127,1.0,1.0,0.005857336105614109,61.0,15.0
128,1.0,1.0,0.0058058460941148955,61.0,17.0
129,1.0,1.0,0.005742599497802944,61.0,19.0
130,1.0,1.0,0.009274908937532035,66.0,1.0
131,1.0,1.0,0.008827208438464249,66.0,3.0
132,1.0,1.0,0.008824679803699569,66.0,5.0
133,1.0,1.0,0.008833453868224064,66.0,7.0
134,1.0,1.0,0.008885805984400636,66.0,9.0
135,1.0,1.0,0.009024687945590238,66.0,11.0
136,1.0,1.0,0.00929230232770206,66.0,13.0
137,1.0,1.0,0.00974450201506937,66.0,15.0
138,1.0,1.0,0.01048124075396361,66.0,17.0
139,1.0,1.0,0.011698005374424456,66.0,19.0
140,1.0,1.0,0.014944239627728369,71.0,1.0
141,1.0,1.0,0.015635487998485367,71.0,3.0
142,1.0,1.0,0.01571541981030745,71.0,5.0
143,1.0,1.0,0.015688313848105248,71.0,7.0
144,1.0,1.0,0.015997006385742054,71.0,9.0
145,1.0,1.0,0.016896218249101248,71.0,11.0
146,1.0,1.0,0.01883657773250914,71.0,13.0
147,1.0,1.0,0.022904088365554333,71.0,15.0
148,1.0,1.0,0.033002908613801764,71.0,17.0
149,1.0,1.0,0.08036965160651288,71.0,19.0
150,1.0,1.0,0.030282016593541773,76.0,1.0
151,1.0,1.0,0.05268463881945144,76.0,3.0
152,1.0,1.0,0.057630588299383306,76.0,5.0
153,1.0,1.0,0.05415265337265067,76.0,7.0
154,1.0,1.0,0.05805684626169744,76.0,9.0
155,1.0,1.0,0.07696329156521514,76.0,11.0
156,1.0,1.0,0.19857607525985455,76.0,13.0
